"filename", "language", "Vue", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\api\course.js", "JavaScript", 0, 0, 6, 4, 1, 11
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\api\evaluation.js", "JavaScript", 0, 0, 19, 15, 5, 39
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\api\menu.js", "JavaScript", 0, 0, 14, 10, 2, 26
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\api\template.js", "JavaScript", 0, 0, 35, 27, 6, 68
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\api\user.js", "JavaScript", 0, 0, 13, 9, 2, 24
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\components\Header.vue", "Vue", 5, 0, 0, -1, 0, 4
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\styles\common.scss", "SCSS", 0, 13, 0, 0, 1, 14
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\styles\globalPage.scss", "SCSS", 0, 3, 0, 1, 2, 6
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\utils\objUtil.js", "JavaScript", 0, 0, 30, 16, 5, 51
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\utils\service\staticData.js", "JavaScript", 0, 0, 69, 8, 2, 79
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\utils\service\userUtil.js", "JavaScript", 0, 0, 8, 3, 1, 12
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\Home.vue", "Vue", 2, 0, 0, 0, 0, 2
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\evaluationSet\template.vue", "Vue", 349, 0, 0, 50, 20, 419
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\evaluation\record.vue", "Vue", 562, 0, 0, 41, 26, 629
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysLog\list.vue", "Vue", 8, 0, 0, 1, 5, 14
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysMenu\list.vue", "Vue", 85, 0, 0, 10, 4, 99
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysUser\list.vue", "Vue", 9, 0, 0, 5, -1, 13
"Total", "-", 1020, 16, 194, 199, 81, 1510
